"","Entry","Yield","SE","CI_L","CI_U"
"250","MON201177-MON101065-MON101082-MON101068",178.688400001636,13.7546881398083,151.724757320672,205.652042682601
"251","MON201178-MON101065-MON101082-MON101068",182.73924486754,14.2724192626335,154.760681538519,210.717808196562
"252","MON201179-MON101065-MON101082-MON101068",185.887925001636,13.7546881398083,158.924282320672,212.851567682601
"253","MON201180-MON101065-MON101082-MON101068",179.721425001636,13.7546881398083,152.757782320672,206.685067682601
"254","MON201181-MON101065-MON101082-MON101068",185.779125001636,13.7546881398083,158.815482320672,212.742767682601
"255","MON201182-MON101065-MON101082-MON101068",190.204925001636,13.7546881398083,163.241282320672,217.168567682601
"256","MON201183-MON101065-MON101082-MON101068",190.773250001636,13.7546881398083,163.809607320672,217.736892682601
"257","MON201184-MON101065-MON101082-MON101068",194.852300001636,13.7546881398083,167.888657320672,221.815942682601
"258","MON201185-MON101065-MON101082-MON101068",199.872425001636,13.7546881398083,172.908782320672,226.836067682601
"259","MON201186-MON101065-MON101082-MON101068",182.613850001636,13.7546881398083,155.650207320672,209.577492682601
"260","MON201187-MON101065-MON101082-MON101068",190.558575001636,13.7546881398083,163.594932320672,217.522217682601
"261","MON201188-MON101065-MON101082-MON101068",190.359625001636,13.7546881398083,163.395982320672,217.323267682601
"262","MON201189-MON101065-MON101082-MON101068",185.674450001636,13.7546881398083,158.710807320672,212.638092682601
"263","MON201190-MON101065-MON101082-MON101068",205.8141992693,14.2724220108878,177.83563055281,233.792767985789
"264","MON201191-MON101065-MON101082-MON101068",196.058025001636,13.7546881398083,169.094382320672,223.021667682601
